name,address,Need 
6FV,"6 Fern Villa, Fulmer Road, SL9 7DT",o
PF0001,"9 Donald Lynch House, Sunshine Way Mitcham, Surrey, CR4 3HQ",Floating Need
PF0004,"18 Overlord Court, Fetcham, Leatherhead, Surrey, KT22 9JP",Floating Need
PF0005,"202 Scafell Road, Northborough Est Slough, Berkshire, SL2 1TZ",Floating Need
PF000,"7 Barrows Lodge, Slough, Berkshire, SL2 1BL",Floating Need
PF0012,"Flat 9 Servite House,  Harrow Rd West Dorking, Surrey, RH4 3AR",Floating Need
PF0013,"93 Main Road Naphill, High Wycombe, Buckinghamshire, HP14 4RT",Floating Need
PF0015 ,"53 The High Street, West Molesey, Surrey, KT8 2NA",Floating Need
PF0019 ,"28 Lawson Rise, High Wycombe, Buckinghamshire, HP13 5NS",Floating Need
PF0021,"116A Molesley Road, Hersham, Walton On Thames, Surrey, KT12 3PA",Floating Need
PF0023,"Madrigals Panny Mead Drive, East Horsley, Surrey, KT24 5AH",Floating Need
PF0024,"51 Anne Way, West Molesey, Surrey, KT8 2PT",Floating Need
PF0025,"31 Ottways Lane, Ashted, Surrey, KT21 2PL",Floating Need
PF0028,"Flat 1 , Stansfield Court, 43 Newark Lane, Woking, Surrey, GU23 6BS",Floating Need
PF0032,"21 Poplar Road, Hinchley Wood, Esher, Surrey, KT10 0DD",Floating Need
PF0034,"22 Pine Close, Horsell, Woking, Surrey, GU21 4SJ",Floating Need
PF0035,"3 Linden Square, Hairefield, Middlesex, UB9 6TQ",Floating Need
PF0036,"57 Belgrave Road, Aylesbury, Buckinghamshire, HP19 9HP",Floating Need
PF0037,"Oak House, Slough, Berkshire, SL2 4FA",Floating Need
PF0038,"25 Coughnaught Close, Maidenhead, Berkshire, SL6 7SQ",Floating Need
PF0039,"224 Long Readings Lane, Slough, Berkshire, SL2 1QE",Floating Need
PF0040,"61 Holtspur Avenue, Wooburn Grren High Wycombe, Buckinghamshire, HP10 0BG",Floating Need
PF0041,"14 Lambourne Drive, Maidenhead, Berkshire, SL6 3HH",o
PR0003,"Netherwood - Grays Park Road, Stoke Poges, Buckinghamshire, SL2 4JG",High Need
PR0004,"137 Stoke Poges Lane, Slough, Berkshire, SL1 3LX",High Need
PR0005,"190 Stoke Poges Lane, Slough, Berkshire, SL1 3LX",Medium Need
PR0006,"168 Stoke Poges Lane, Slough, Berkshire, SL1 3LH",High Need
PR0008,"246 Stoke Poges Lane, Slough, Berkshire, SL1 3LH",Medium Need
PR0009 ,"12 Ellis Avenue, Slough, Berkshire, SL1 2RD",High Need
PR0010 ,"8A Regents Court, Slough, Berkshire, SL1 3LG",Low Need
PR001,"10 Regents Court, Stoke Poges Lane Slough, Berkshire, SL1 3LG",Medium Need
PR0012 ,"31 Laburnham Road, Maidenhead, Berkshire, SL6 4DB",High Need
PR0013,"31A Laburnham Road, Maidenhead, Berkshire, SL6 4DB",Medium Need
PR0015,"13 Ramsbury Close, Bracknell, Berkshire, RG12 8GE",High Need
PR0016 ,"65 Honey End Lane, Reading, Berkshire, RG30 4EL",High Need
PR0017,"66 Honey End Lane, Reading, Berkshire, RG30 4EQ",High Need
PR0018,"8 Charrington Road, Calcot, Reading, Berkshire, RG31 7AW",High Need
PR0019 ,"Newlands, Maybury Hill, Woking, Surrey, GU22 8AH",High Need
PR001P,"CCS Property Services Ltd, Progress Business Centre, Unit 2, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0020,"60 London Road, Redhill, Surrey, RH1 1LN",High Need
PR0021,"237 Haydons Road, Wimbledon, London, SW19 8TY",Low needs
PR0023,"99-101a London Road, Morden, Surrey, SM4 5HP",High Need
PR0025,"64 Queen Mary Avenue, Morden, Surrey, SM4 4JR",High Need
PR0026,"440a Durnsford Road, Wimbledon, London, SW19 8DZ",Medium Need
PR0027,"15 Ascott Road, Aylesbury, Buckinghamshire, HP20 1HX",High Need
PR0028,"Lanterns 42 West Road, Guildford, Surrey, GU1 2AT",High Need
PR0029,"242 Tilehurst Road, Reading, Berkshire, RG30 2NE",High Need
PR0030,"113 Belgrave Road, Slough, Berkshire, SL1 3RA",Medium Need
PR0031,"166 Green Lane, Morden, Surrey, SM4 6SR",Medium Need
PR0033,"81 Norbiton Avenue, Kingston Upon Thames, Surrey, KT1 3QY",High Need
PR0034,"3 Bodley Road, New Malden, Surrey, KT3 5QD",High Need
PR0035,"3 Sandhurst Avenue, Surbiton Kingston Upon Thames, Surrey, KT5 9BS",High Need
PR0037 ,"Flat 82 Grosvenor Court, London Road Morden, Surrey, SM4 5HQ",Low Need
PR0038,"11 Clarendon Court , 4 Wexham Road Slough, Berkshire, SL2 5QJ",Low Need
PR0039 ,"49 Keel Drive, Slough, Berkshire, SL1 2XU",Medium Need
PR0041,"141 Bridge Road, Maidenhead, Berkshire, SL6 8NQ",High Need
PR0042 ,"10A Regents Court, Slough, Berkshire, SL1 3LG",Low Need
PR0043,"11A Regents Court, Stoke Poges Lane, Slough, Berkshire, SL1 3LG",Low Need
PR0045,"Flat 4, Queensgate Gardens, Cookham Road, Maidenhead, SL6 8AJ",o
PR0046,"Hazel Lodge, 110-112 London Road, Camberley, Surrey, GU15 3TJ",High Need
PR0047 ,"22 Maldon Close, Reading, Berkshire, RG30 2DH",Medium Need
PR0048 ,"41B Sussex Place, Slough, Berkshire, SL1 1NH",Low Need
PR0049,"26 Bells Hill Green, Stoke Poges, Buckinghamshire, SL2 4BZ",Low Need
PR0050 ,"32 Pickfords Gardens, Slough, Berkshire, SL1 3GE",Low Need
PR0051  ,"22 Cotts Wood Drive, Wey Brook Park Burpham, Surrey, GU4 7RB",Floating Need
PR0052,"Boundary Cottage, 56 Grindston Cres Woking, Surrey, GU21 2RY",High Need
PR0053,"36 Pitts Road, Slough, Berkshire, SL1 3XH",o
PR0054,"47 Victoria Road, Eton Wick, Berkshire, SL4 6LY",High Need
PR0055,"41C Sussex Place,  Slough, Berkshire, SL1 1NH",Low Need
PR0056,"182 Cookham Road, Maidenhead, Windsor & Maidenhead, SL6 7HP",High Need
PR0057 ,"3 Thamesbridge Court, Ray Park Ave Maidenhead, Berkshire, SL6 8DS",Medium Need
PR0058,"57 Robin Hood Road, Knaphill, Surrey, GU21 2NA",High Need
PR0059,"5 Bicester Road, Aylesbury, Buckinghamshire, HP19 9AG",High Need
PR0060,"233 Stoke Road, Slough, Berkshire, SL2 5AX",High Need
PR0061,"348 Kingston Road, Kingston Upon Thames, Surrey, KT3 3RX",Medium Need
PR0062,"410 Hillcross Avenue, Modern, Surrey, SM4 4EX",High Need
PR0063,"Noel Cottage, Maybury Hill Woking, Surrey, GU22 8AH",Medium Need
PR0064 ,"11 Oakleigh Avenue, Surbiton, Surrey, KT6 7PY",High Need
PR0065,"9 Ledgers Road, Slough, Berkshire, SL1 2QZ",Medium Need
PR0066,"5 Ascot Court, Aylesbury, Buckinghamshire, HP20 1HQ",Low Need
PR0067,"21 Nash Drive, Redhill, Surrey, RH1 1LH",Medium Need
PR0067 ,"21 Nash Drive, Redhill, Surrey, RH1 1LH",Medium Need
PR0068,"30 Chancellor Gardens, South Croydon, Greater London, CR2 6WB",Floating Need
PR0069,"10 Petersfield Avenue,  Slough, Berkshire, SL2 5DN",Low Need
PR0070,"3 Sperling Road, Maidenhead, Berkshire, SL6 7LB",Medium Need
PR0071,"Flat 413, Riverbank Point, 114 High Street, Uxbridge, Hillingdon, UB8 1JL",Low Need
PR0073E,"Primrose Lodge - East Wing, Stocklake, Aylesbury, Buckinghamshire, HP20 1AT",High Need
PR0073W,"Primrose Lodge - West Wing, Stocklake Aylesbury, Buckinghamshire, HP20 1AT",High Need
PR0074,"12 Warwick Road, New Malden, Surrey, KT3 3SH",Medium Need
PR0075H,"Aster Lodge - Downstairs, 119-121 Wendover Road, Aylesbury, Buckinghamshire, HP21 9LW",High Need
PR0075L,"Aster Lodge - Flat, 119-121 Wendover Road, Aylesbury, Buckinghamshire, HP21 9LW",Low Need
PR0075M,"Aster Lodge - Upstairs, 119-121 Wendover Road, Aylesbury, Buckinghamshire, HP21 9LW",Medium Need
PR0077,"Glenister Gardens, Hayes, Uxbridge, Hillingdon, UB3 3FA",High Need
PR0078,"3 Church Close, Hayes, Uxbridge, Hillingdon, UB4 8JW",High Need
PR0079,"32 Dolphin Road, Slough, Berkshire, SL1 1TD",High Need
PR0080,"13 Lexington Apartments, Railway Terrace, Slough, Berkshire, SL2 5GQ",o
PR0081,"Cedar House, 251A Park Road North Uxbridge, Middlesex, UB8 1NS",High Need
PR0082,"68 Alpha Street, South, Slough, Berkshire, SL1 1QX",o
PR0083,"75 Penny Lets Green, Stoke Poges, Buckinghamshire, SL2 4BX",High Need
PR0084,"Sweet Croft Lodge, 105 Sweetcroft Lane Uxbridge, Middlesex, UB10 9LG",High Need
PR0085,"The Retreat, 75 Green Lane, New Malden, Surrey, KT3 5BX",High Need
PR0086A,"Hawthorns Annex, Bath Road, Taplow, Maidenhead, Berkshire, SL6 0AP",High Need
PR0086B,"Hawthorns, Bath Road, Taplow, Buckinghamshire, SL6 0AP",High Need
PR0087,"2C Cromwell Road, Camberely, Surrey, GU15 4HY",Medium Need
PR0088,"GStar Property Services Ltd, GStar House, Progress Business Centre, Unit 19, Whittle Park Way, Slough, Berkshire, SL1 6DQ",o
PR0088F,"CCS Finance & IT, GStar House, Progress Business Centre, Unit 19, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0088H,"Hopewell Housing (UK) Ltd, GStar House, Progress Business Centre, Unit 19, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0088T,"CCS Training Academy, GStar House, Progress Business Centre, Unit 19, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0089,"CCS Operations Department, Regent House, Progress Business Centre, Unit 20, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0089H,"CCS Home Care Services Ltd, Regent House, Progress Business Centre, Unit 20, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0089L,"CCS Legal & IT, Regent House, Progress Business Centre, Unit 20, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0089R,"Regent Housing Ltd, Regent House, Progress Business Centre, Unit 20, Whittle Park Way, Slough, Berkshire, SL1 6DQ",o
PR0089T,"The Conference Centre, Regent House Progress Business Centre, Unit 20, Whittle Park Way , Slough, Berkshire, SL1 6DQ",o
PR0090,"10 Hartford Rise, Camberley, Surrey, GU15 4HT",Medium Need
PR0091,"123 Wills Crescent Whitton, Hounslow, London, TW3 2JE",High Need
PR0092,"128 Coventon Road, Aylesbury, Buckinghamshire, HP19 9LL",Medium Need
PR0093,"17 Campion Close, Uxbridge, Middlesex, UB8 3PY",High Need
PR0094,"84 Weston Drive, Stanmore Harrow, Middlesex, HA7 2EN",High Need
PR0095,"55 Vista Way, Harrow, Middlesex, HA3 0SP",High Need
PR0096,"Honeycroft Hill House, 60 Honeycroft Hill, Uxbridge, Middlesex, UB10 9NS",High Need
PR0097,"Thames House, Bells Hill, Stoke Poges, Berkshire, SL2 4EH",o
PR0098,"2 Riverside Close, Wallington, Surrey, SM6 7DH",High Need
PR0099,"71 Stanley Park Road, Carshalton, Surrey, SM5 3HX",High Need
PR0100,"50 Rectory Grove, Hampton Richmond, Middlesex, TW12 1AH",High Need
PR0101,"21a Cleveland Road, Uxbridge, Middlesex, UB8 2DR",High Need
PR0102,"47 Fowgay Drive, Solihull, West Midlands, B91 3PH",o
PR0103,"44 Aldin Avenue South, Slough, Berkshire, SL1 1RR",Low Need
PR0104,"37 Lucien Road, Tooting, London, SW17 8HS",High Need
PR0105,"165 Frenches Road, Redhill, Surrey, RH1 2HZ",High Need
PR0106,"Silver Birches, Uxbridge, Hillingdon, UB10 0BW",High Need
PR0107,"76 Thornhill Road, Ickenham, Hillingdon, UB10 8SH",High Need
PR0108,"167 Frenches Road, Redhill, Surrey, RH1 2HZ",High Need
PR0110,"168 Frenches Road, Redhill, Surrey, RH1 2HZ",o
PR0111,"171-173 Frenches Road, Redhill, Surrey, RH1 2HZ",o
PR0112,"Oak Tree Cottage, Hillingdon, Middlesex, UB10 0BW",Private Rented
PR0113,"15 Mulberry Parade, West Drayton, Uxbridge, Middlesex, UB7 9AE",o
PR0114,"Lanterns Bungalow, Guildford, Surrey, GU1 2AT",Medium Need
PR0115,"238 Lynmouth Avenue, Morden, Merton, SM4 4RS",High Need
,"Thomas House, Bells Hill, Stoke Poges, SL2 4BY",o
,"63 Talbot Road, Harrow, Middlesex, HA3 7QE",High Need
,"47A Victoria Road, Eton Wick, Berkshire, SL4 6LY",o
,"47B Victoria Road, Eton Wick, Berkshire, SL4 6LY",o
,"47C Victoria Road, Eton Wick, Berkshire, SL4 6LY",o
,"118 The Frithe , Wexham, Slough, SL2 5RP",High Need
,"Parkview Court, Farrier Close, Uxbridge, UB8 3XG",High Need
,"Grassy Meadow Court, Grange Road , Hayes, UB3 2UF",High Need
,"Grassy Meadow Court, Grange Road , Hayes, UB3 2UF",High Need
,"Triscott House , Avondale Drive, Hayes, UB3 3PE ",High Need
,"Cottesmore House ,Perkins Gardens, Ickenham, Middlesex, UB10 8FT ",High Need
,"Flat 2, 237 Haydons Road, Wimbledon, London, SW19 8TY",Low needs
,"Flat 3, 237 Haydons Road, Wimbledon, London, SW19 8TY",Low needs
,"Rose Cottage, 1C Dryden Road, London, Wimbledon, SW19 8SQ ",Low needs
,"Progress Business Centre, Unit 10, Whittle Park Way,  Berkshire,  Bath Road, Slough, SL1 6DQ",o
,"6 Church Road, Cowley, Uxbridge, Middlesex, UB8 3NA",High Need
,"82 Swan Road, West Drayton, London, UB7 7LA",High Need
,"134 Shepherds Bush Rd Hammersmith, London W6 7PB",Medium Need
PR1CCS,"Comfort Care Services (UK) Ltd, Progress Business Centre, Unit 2, Whittle Park Way, Slough, Berkshire, SL1 6DQ",o
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
